n,Sample_ID,Date,Date_n,C_species,C_species_n,Site,Location,Location_n,Pool_type,d13C,F14C,1sig_a,C14_age,1sig_b,C14_input,young_soln,young_soln+sd,young_soln-sd,old_soln,old_soln+sd,old_soln-sd,p_10y,p_50y,p_100y,p_300y,p_500y,p_1000y
78,P4-DOC-150915,15/09/2015,Sep-15,DOC,a,P04,Cross Lochs,a,Natural,-25.447,0.969007,0.004459,253,37,ranges2014-10ky,NA,NA,NA,350.37,335.44,361.38,1.96,9.42,17.9493,44.7609,62.8113,86.17
79,P6-DOC-150915,15/09/2015,Sep-15,DOC,a,P06,Cross Lochs,a,Natural,-25.368,1.004347,0.004618,NA,NA,ranges2014-10ky,NA,NA,NA,219.66,228.76,232.66,3.11,14.6,27.0612,61.196,79.356,95.7382
80,P7-DOC-150915,15/09/2015,Sep-15,DOC,a,P07,Cross Lochs,a,Restoration,-29.017,1.072543,0.004693,NA,NA,ranges2014-10ky,6.05,6.55,5.54,86.14,81.38,92.21,7.73,33.12,55.2767,91.0546,98.2108,99.968
81,P9-DOC-150915,15/09/2015,Sep-15,DOC,a,P09,Cross Lochs,a,Restoration,-28.645,1.075007,0.00495,NA,NA,ranges2014-10ky,6.3,6.84,5.78,83.98,78.31,89.3,7.92,33.81,56.1911,91.5921,98.3863,99.974
82,P10-DOC-150915,15/09/2015,Sep-15,DOC,a,P10,Cross Lochs,a,Restoration,-28.81,1.096223,0.004789,NA,NA,ranges2014-10ky,8.64,9.22,8.07,61.29,57.32,66.88,10.69,43.19,67.7281,96.639,99.65,99.9988
83,MUN1-DOC-170915,17/09/2015,Sep-15,DOC,a,MUN01,Munsary,c,Natural,-25.53,1.066513,0.004901,NA,NA,ranges2014-10ky,5.4,5.93,4.84,94.03,87.56,101.9,7.11,30.83,52.1522,89.0457,97.4921,99.9371
84,MUN2-DOC-170915,17/09/2015,Sep-15,DOC,a,MUN02,Munsary,c,Natural,-28.224,1.072603,0.00493,NA,NA,ranges2014-10ky,6.05,6.58,5.52,86.07,81.04,92.45,7.74,33.15,55.3079,91.0733,98.217,99.9682
85,MUN3-DOC-170915,17/09/2015,Sep-15,DOC,a,MUN03,Munsary,c,Natural,-29.065,1.079846,0.004969,NA,NA,ranges2014-10ky,6.82,7.37,6.29,78.44,73.11,83.29,8.46,35.72,58.6752,92.9428,98.7948,99.9855
86,P4-POC-150915,15/09/2015,Sep-15,POC,b,P04,Cross Lochs,a,Natural,-26.2,0.973375,0.004241,217,35,ranges2014-10ky,NA,NA,NA,336.06,369.96,350.02,2.04,9.8,18.6375,46.1393,64.345,87.2872
87,P6-POC-150915,15/09/2015,Sep-15,POC,b,P06,Cross Lochs,a,Natural,-24.327,1.005179,0.00438,NA,NA,ranges2014-10ky,NA,NA,NA,216.66,226.39,232.32,3.15,14.78,27.3798,61.7024,79.803,95.9208
88,P7-POC-150915,15/09/2015,Sep-15,POC,b,P07,Cross Lochs,a,Restoration,-29.865,0.99998,0.004529,0,36,ranges2014-10ky,NA,NA,NA,232.58,219.07,267.43,2.94,13.84,25.772,59.1019,77.466,94.9222
89,P9-POC-150915,15/09/2015,Sep-15,POC,b,P09,Cross Lochs,a,Restoration,-28.924,0.984554,0.00429,125,35,ranges2014-10ky,NA,NA,NA,318.3,270.22,348.48,2.15,10.32,19.5685,47.967,66.3387,88.6691
90,P10-POC-150915,15/09/2015,Sep-15,POC,b,P10,Cross Lochs,a,Restoration,-28.998,1.026836,0.004474,NA,NA,ranges2014-10ky,NA,NA,NA,163.65,0.78,171.57,4.15,19.09,34.5282,71.9352,87.9699,98.5528
91,MUN1-POC-170915,17/09/2015,Sep-15,POC,b,MUN01,Munsary,c,Natural,-24.619,1.010989,0.004572,NA,NA,ranges2014-10ky,NA,NA,NA,220.86,204.72,212.32,3.09,14.52,26.9362,60.9962,79.1785,95.6647
92,P6-CO2-200514,20/05/2014,May-14,CO2,c,P06,Cross Lochs,a,Natural,,0.941947,0.008869,480,80,ranges2014-10ky,NA,NA,NA,445.04,416.32,592.7,1.55,7.49,14.4227,37.3278,54.1022,78.9339
93,LL08-POC-041114,04/11/2014,Nov-14,POC,b,LL08,Loch Leir,b,Restoration,,0.936968,0.002384,525,25,ranges2014-10ky,NA,NA,NA,588.73,446.55,591.16,1.17,5.72,11.1069,29.7569,44.4941,69.191
94,LLO2 ACC-CH4,05/11/2014,Nov-14,CH4,f,LL02,Loch Leir,b,Natural,,1.05231,0.002727,NA,NA,ranges2014-10ky,3.73,4.07,3.36,113.51,114.65,123.28,5.92,26.31,45.6989,83.9887,95.2789,99.7771
95,PO2 EB-CH4,05/11/2014,Nov-14,CH4,e,P02,Cross Lochs,a,Natural,,0.956895,0.00255,355,25,ranges2014-10ky,NA,NA,NA,387.92,376.94,399.44,1.77,8.55,16.3627,41.4941,59.074,83.2506
96,PO1 EB-CH4,05/11/2014,Nov-14,CH4,e,P01,Cross Lochs,a,Natural,,0.873228,0.002309,1090,25,ranges2014-10ky,NA,NA,NA,661.32,658.38,664.29,1.04,5.11,9.9507,26.9801,40.789,64.9406
97,P12 EB-CH4,05/11/2014,Nov-14,CH4,e,P12,Cross Lochs,a,Restoration,,1.069475,0.002765,NA,NA,ranges2014-10ky,5.71,6.02,5.42,90.06,86.52,93.76,7.41,31.94,53.6836,90.0642,97.8686,99.9546
